key	keyword
Thousands	thousands
Thousands	thousand
Lakhs	lakhs
Lakhs	lakh
Lakhs	lacs
Lakhs	lac
Millions	millions
Millions	million
Millions	mil
Millions	mln
Crores	crores
Crores	crore
Crores	cr
Crores	crs
Billions	billions
Billions	billion
Billions	bil
